#{"t_start": 1790206915.9220726, "env_id": "None"}
r,l,t
-168.016374,147,13423.050171
260.541992,105,13438.169623
198.815301,125,13458.791254
-52.720251,132,13476.901367
199.266631,118,13493.168574
-49.881891,137,13511.667923
-111.001396,148,13531.773118
-279.170973,140,13550.498576
-293.230897,146,13578.298507
259.257727,107,13597.057436
-144.721792,146,13616.529506
-78.630077,135,13634.907526
-181.740735,153,13654.819695
247.79619,109,13672.27488
-121.100542,146,13691.670416
259.405173,107,13706.429228
205.41269,117,13724.492132
-107.366621,131,13763.593831
204.93417,118,13779.248543
247.714623,108,13806.458171
-147.869044,147,13827.058099
252.707103,112,13847.51233
206.108422,120,13863.232072
242.272949,112,13878.59132
-174.795464,145,13898.163731
-69.800731,135,13919.636938
-174.56981,147,13942.73101
258.123839,105,13957.680904
-178.696763,143,13979.70889
241.773895,109,13994.691041
-137.816587,144,14013.461805
-52.953667,133,14052.053644
-203.460132,145,14074.763358
258.749958,107,14089.426186
200.134584,118,14107.64066
-68.160263,134,14126.503805
-115.518945,144,14145.526676
-59.800472,136,14163.695722
210.968939,121,14184.175735
-190.530247,115,14199.667172
-221.957211,150,14219.841154
-207.72122,121,14235.909641
-108.212448,142,14258.251925
260.077596,108,14273.393892
-119.265447,141,14295.302772
-155.623832,141,14321.664787
-127.283274,148,14341.565428
252.866823,109,14360.133726
201.732507,122,14394.863324
258.541762,108,14444.923112
-577.623362,193,14472.634598
257.129533,107,14487.090982
183.811594,118,14505.153286
229.961963,110,14596.456199
-151.377074,148,14633.680865
-184.301254,116,14649.537499
-164.470909,142,14669.084404
-63.434227,130,14691.677265
-126.490061,149,14710.99863
246.053281,110,14725.569524
-90.365562,144,14743.734312
-79.57515,132,14774.773449
218.983888,115,14791.689843
259.764534,108,14808.435576
211.241731,115,14843.097521
245.01737,112,14858.475622
213.23351,117,14874.302404
240.405636,116,14890.115042
-110.57345,142,14909.112492
-86.502659,133,14928.266412
-171.800427,98,14943.003388
255.916472,111,14967.422836
170.385731,125,14984.378909
-62.252343,136,15006.914585
220.449498,113,15022.101843
256.286795,109,15037.289454
-127.352398,142,15056.663862
-277.263013,140,15092.297505
191.448736,124,15129.567484
249.110562,109,15154.308103
-141.526785,155,15176.394311
256.017236,106,15199.14899
-95.620423,147,15222.905843
252.671436,110,15237.789314
172.297432,116,15258.348476
-270.497963,137,15279.955202
-102.331292,147,15299.29587
-232.468299,147,15318.565189
-146.932493,155,15344.466133
-116.62887,135,15362.782563
-119.782135,152,15382.784493
-57.656892,131,15400.970188
-138.585638,151,15422.375009
-73.237788,139,15440.888942
210.675026,117,15461.505938
254.855038,110,15476.516133
-155.595071,147,15498.755747
258.013903,107,15513.454864
-183.889666,156,15539.790687
-85.32008,132,15557.714728
192.200899,124,15574.032486
-58.578227,133,15592.469781
199.289754,118,15608.116887
-159.123837,140,15627.624549
-133.866474,144,15655.117104
-206.863251,122,15676.298755
171.592728,126,15693.884431
256.831928,110,15713.064786
-161.823701,158,15734.149495
256.486544,109,15755.565122
220.587251,116,15798.807842
260.21942,105,15813.492785
168.238593,118,15829.10212
259.177532,106,15843.602075
187.879318,128,15861.510499
-69.451892,138,15882.561917
185.776733,124,15898.868117
258.751341,110,15913.895247
-99.813653,143,15933.111845
255.725389,110,15947.841432
-106.84835,145,15968.444752
-86.372061,134,15991.575068
210.798221,117,16008.794147
-53.562615,135,16027.3508
-179.051824,151,16046.937546
259.805831,106,16061.646794
-298.626399,200,16087.332549
257.533281,111,16115.613134
203.40499,119,16135.270869
244.485973,108,16149.893315
212.562723,122,16188.321929
245.345345,108,16203.001107
-148.378249,158,16226.236517
-197.983328,140,16245.313189
190.765094,124,16262.02443
254.616624,111,16277.039228
-100.334225,144,16296.38159
-190.543782,142,16316.07927
209.35103,121,16334.336353
-60.001532,138,16356.064043
-99.512684,145,16378.511056
-198.545781,119,16394.554809
181.70755,127,16411.63746
-71.764508,137,16433.07688
-105.971186,144,16457.424489
-55.051903,132,16479.327018
188.462234,122,16495.868266
255.994316,108,16510.981033
-129.193774,154,16531.164128
-57.691573,141,16549.753385
-112.811206,146,16569.334946
-77.382248,145,16592.15676
-99.047615,139,16610.556113
250.514203,113,16630.144329
-96.957584,136,16648.043263
256.248113,111,16666.099873
-360.602671,200,16704.650311
-69.546431,132,16724.769836
215.124489,118,16740.375271
246.848395,108,16761.082911
-85.37129,145,16785.260803
-232.704582,127,16802.81005
-192.866237,148,16822.126276
-591.811408,200,16849.984367
-122.140941,149,16869.439112
255.973986,110,16884.70452
-101.993214,144,16903.627547
247.735172,108,16918.210015
-124.673052,145,16944.754529
-98.350668,139,16966.265805
-94.685667,149,16998.165527
244.297147,110,17032.034014
200.271319,130,17049.480872
247.741788,107,17096.82464
207.418575,117,17117.992481
-98.77024,134,17136.256475
136.064797,128,17153.646081
232.841416,110,17189.662904
135.142216,125,17211.036979
-64.947568,138,17233.865639
-129.270091,144,17253.671731
-103.373934,141,17274.473763
205.26018,121,17292.066429
232.733593,109,17306.919567
-109.80552,147,17326.404829
-110.887717,142,17356.727349
-119.867266,154,17387.134032
-54.099827,131,17408.605524
189.502888,117,17428.959758
257.680266,108,17449.304569
-127.116093,151,17471.307697
-63.545037,131,17489.801154
-118.974801,147,17515.839409
-202.871849,120,17547.968057
-236.417257,162,17569.214921
256.251334,108,17591.860231
-118.363303,150,17615.059865
256.419337,109,17640.412691
